Ratings ID,Customer Name,Location,Ratings Date,Rating,Star Rating,Ratings Text,Key Points,Sentiment
1,Martin S.,"San Francisco, CA",7/15/2024,5,?????,"“Wide variety of smoothies, juices, and everything else.”","Convenient location, bright ambiance.",Positive
2,Maria Z.,"San Francisco, CA",7/14/2024,1,?,“Super slow service; Acai bowl took 20 minutes.”,Prepping vs. helping clients.,Negative
3,Mike T.,"Sunnyvale, CA",7/1/2024,5,?????,"“Good juices, usually not too bad of a line.”",Fast service during busy times.,Positive
4,Angelica A.,"San Francisco, CA",5/10/2024,1,?,“Outlandish behavior by assistant manager.”,Rude treatment of employees.,Negative
5,Edith S.,"San Francisco, CA",9/12/2023,1,?,“Extremely rude person taking orders.”,"No smiles, no courtesy.",Negative
6,Gabriela P.,"San Francisco, CA",8/5/2023,5,?????,"“Great staff, quick service, best drinks!”",Super antioxidant smoothie love.,Positive
7,Letisha H.,"Haight-Ashbury, SF, CA",4/23/2023,2,??,“Inconsistent service; Edith’s attitude.”,Welcoming vs. stinky/dry demeanor.,Negative
8,Caleb H.,"San Francisco, CA",7/29/2021,4,????,“Cashier Ivan made the trip nice.”,Helpful service on a stressful day.,Positive
9,Bernadett V.,"San Francisco, CA",6/25/2021,1,?,“Rude Latin females making smoothies.”,Personal conversation during service.,Negative
10,Martha H.,"Santa Clara, CA",4/10/2021,1,?,“Unhygienic behavior during drink preparation.”,Carrot incident and nail glimpse.,Negative
11,Helen L.,"San Francisco, CA",1/15/2021,4,????,“In love with their acai bowl.”,"Fresh fruits, huge portion.",Positive
12,Colleen L.,"San Francisco, CA",10/2/2020,1,?,“Customer service lacking; drinks okay.”,Unpleasant cashier experience.,Negative
13,Taylor Z.,"New York, NY",8/30/2020,4,????,“Expensive but great smoothies.”,Hits the spot.,Neutral
14,Jerry C.,"Murrieta, CA",12/23/2019,1,?,“Overall bad experience.”,Slow service.,Negative
15,Eric D.,"Alameda, CA",11/16/2019,3,???,“Prices gone up; good service.”,"Clean location, helpful staff.",Neutral
16,Luka S.,"Kona, HI",6/15/2019,4,????,"“Nice employees, but ingredient shortages.”","Walk-up store, hardworking staff.",Positive
17,Phil E.,"Los Angeles, CA",4/27/2019,3,???,“Regular Jamba Juice walk-up.”,No indoor seating.,Neutral
18,Da Bowtie 1.,"San Francisco, CA",4/15/2019,1,?,"“Friendly cashier, but rude drink maker.”",Manager’s attitude impacted experience.,Negative
19,Kim K.,"San Francisco, CA",8/12/2017,1,?,"“Lazy staff, won’t return.”",Refused fruit bowl due to closing.,Negative
20,Kimberly D.,"Oakland, CA",6/22/2017,1,?,"“Rude service, no customer service.”","Unhelpful staff, lack of smiles.",Negative
21,Leli C.,"San Francisco, CA",6/16/2017,5,?????,“Honest and kind customer service.”,Young man returned forgotten credit card.,Positive
22,Noelle C.,"San Francisco, CA",6/13/2017,2,??,"“Watery Jamba, not true mango.”",Disappointing consistency.,Negative
23,Genelle G.,"Los Angeles, CA",5/11/2017,5,?????,"“Consistent taste, favorite Jamba.”",Not Pressed Juicery.,Positive
24,Marvin C.,"South San Francisco, CA",4/5/2017,1,?,“Oatmeal not ready at opening.”,Inconsistent opening times.,Negative
25,Don L.,"San Francisco, CA",2/13/2017,1,?,“Worsening customer service.”,Large order mix-up.,Negative
26,Katy I.,"San Francisco, CA",10/23/2016,1,?,"“Rude cashier, slow service.”","Ingredients out, delayed order.",Negative
27,Timothy C.,"San Francisco, CA",10/1/2016,3,???,"“Efficiently run, excellent service.”","Manager’s care, willingness to correct mistakes.",Positive
28,Lei S.,"San Francisco, CA",8/23/2016,2,??,“Rude staff but still love Jamba.”,Mixed experience.,Neutral
29,Julio S.,"San Bruno, CA",8/16/2016,1,?,"“Long wait, disappointing service.”",Slow order fulfillment.,Negative
30,Sam S.,"Oakland, CA",8/5/2016,1,?,“Beet juice confusion.”,Contradictory signage.,Negative
31,Marc G.,"San Francisco, CA",7/3/2016,1,?,“Service decline over the years.”,Overall poor experience.,Negative
32,Heather B.,"San Francisco, CA",7/2/2016,1,?,"“Worst in the city, rude manager.”","Incompetent staff, unsanitary conditions.",Negative
33,JAZZNET T.,"San Francisco, CA",6/26/2016,3,???,"“Jamba Juice, my favorite place.”",Positive (Mega Man reference).,Positive
